committee_id,no_of_members,no_of_posts,no_of_events,followers,tags
1,12,28,9,35,science
2,13,30,11,24,science
3,15,17,8,27,sports
4,14,30,18,18,"science, literature"
5,12,30,18,39,literature
6,10,25,18,18,"science, literature"
7,15,12,18,48,"sports, literature"
8,12,11,5,49,"science, literature"
9,14,12,19,47,literature
10,14,13,8,29,"sports, science"
11,11,12,16,34,sports
12,11,28,15,26,"sports, science, literature"
13,15,22,17,25,sports
14,13,13,16,26,"sports, literature"
15,14,24,19,17,literature
16,13,11,11,32,"science, literature"
17,14,27,11,11,"sports, literature"
18,13,29,16,28,"sports, literature"
19,14,23,5,33,"sports, science, literature"
20,13,13,5,48,sports
21,12,30,20,10,science
22,13,23,10,37,sports
23,12,19,8,49,sports
24,13,29,8,21,sports
25,14,12,6,37,sports
26,11,11,6,45,"sports, science"
27,15,14,20,13,"sports, literature"
28,10,25,15,24,science
29,12,28,10,14,sports
30,14,28,17,22,sports
31,15,28,15,24,sports
32,11,16,9,22,science
33,13,11,8,30,"sports, literature"
34,12,19,6,39,"science, literature"
35,12,19,10,26,science
36,10,13,8,47,"sports, science, literature"
37,13,16,12,30,literature
38,15,13,11,21,sports
39,11,22,11,40,"sports, science, literature"
40,13,19,5,30,"sports, science"
41,15,19,9,39,literature
42,13,22,16,42,science
43,13,21,17,40,science
44,14,28,20,48,literature
45,11,13,18,10,sports
46,15,18,5,29,"sports, science"
47,14,15,15,50,science
48,13,24,9,36,"science, literature"
49,15,29,5,19,"science, literature"
50,15,24,9,18,science
51,10,10,13,44,"science, literature"
52,13,22,9,28,"sports, science, literature"
53,15,27,7,25,"sports, science, literature"
54,14,18,10,24,sports
55,11,23,9,22,literature
56,11,12,11,47,"sports, science"
57,12,20,13,39,science
58,11,28,17,37,"sports, science, literature"
59,11,15,8,10,"science, literature"
60,11,11,19,31,"sports, literature"
61,11,15,17,43,"science, literature"
62,10,29,15,10,science
63,12,12,5,47,sports
64,11,10,5,49,"science, literature"
65,11,17,14,37,"sports, science"
66,15,30,16,22,science
67,13,11,9,31,literature
68,13,18,14,24,science
69,13,24,8,30,"sports, science"
70,10,10,20,22,"sports, science"
71,11,21,5,32,"science, literature"
72,15,29,19,31,science
73,15,15,8,20,"sports, science, literature"
74,11,12,19,12,"science, literature"
75,10,16,12,42,"science, literature"
76,15,17,5,21,literature
77,13,20,5,28,"sports, literature"
78,11,18,18,24,science
79,12,25,17,20,science
80,13,15,13,29,"science, literature"
81,11,26,5,14,"sports, science, literature"
82,10,17,6,44,sports
83,15,30,16,33,"science, literature"
84,13,11,14,25,"sports, science, literature"
85,13,11,20,14,science
86,15,17,15,33,sports
87,15,16,16,29,science
88,14,28,8,32,"sports, science, literature"
89,13,11,10,48,science
90,10,26,13,28,"science, literature"
91,14,25,19,45,"science, literature"
92,12,22,11,47,sports
93,10,23,14,25,"sports, science"
94,15,14,16,35,"sports, science"
95,12,19,6,42,"science, literature"
96,15,28,8,15,"science, literature"
97,13,10,6,31,science
98,13,13,8,19,sports
99,15,25,10,22,"sports, literature"
100,14,26,12,48,science
101,13,15,11,35,"sports, science"
102,10,14,13,10,science
103,15,13,20,21,science
104,10,30,14,18,sports
105,11,17,12,46,"sports, literature"
106,12,13,16,32,"sports, science, literature"
107,11,17,5,44,science
108,10,13,14,24,"science, literature"
109,10,21,14,25,sports
110,10,23,12,50,"sports, literature"
111,15,20,14,19,science
112,14,23,5,43,"sports, science"
113,14,30,14,30,"sports, literature"
114,15,17,10,23,sports
115,15,25,10,46,literature
116,13,30,15,14,science
117,12,28,11,37,sports
118,10,13,12,37,literature
119,12,22,13,34,science
120,14,10,19,14,"sports, literature"
121,10,30,17,27,sports
122,14,22,10,20,"sports, literature"
123,10,28,12,50,"sports, literature"
124,11,19,9,23,"sports, science"
125,14,22,6,41,science
126,11,12,17,27,sports
127,14,29,13,23,science
128,12,27,10,28,"science, literature"
129,10,24,17,28,"sports, literature"
130,12,16,17,26,literature
131,11,17,13,10,"sports, science, literature"
132,15,20,9,38,literature
133,11,10,11,24,science
134,13,29,8,23,science
135,14,15,20,41,literature
136,13,14,12,32,"sports, science"
137,15,17,17,26,literature
138,12,14,19,22,sports
139,14,25,10,23,science
140,12,27,8,46,literature
141,11,11,17,12,"sports, science, literature"
142,14,11,6,36,"sports, science"
143,13,13,6,37,"science, literature"
144,14,28,9,21,literature
145,10,24,17,30,"sports, literature"
146,14,25,17,44,literature
147,15,16,15,21,"science, literature"
148,10,16,7,36,"sports, literature"
149,12,25,7,46,sports
150,13,14,8,23,literature
151,11,12,10,18,science
152,15,14,17,34,literature
153,10,15,17,36,"science, literature"
154,15,12,5,30,"sports, science, literature"
155,12,22,14,12,science
156,10,14,20,12,"sports, literature"
157,10,23,18,20,"science, literature"
158,15,11,18,27,science
159,15,11,6,27,sports
160,15,19,11,16,literature
161,12,15,19,14,science
162,15,15,19,41,science
163,11,29,11,44,"sports, science"
164,14,25,12,36,"sports, literature"
165,14,18,18,18,science
166,10,15,15,16,"science, literature"
167,13,29,19,40,science
168,13,15,17,13,sports
169,14,22,9,48,"science, literature"
170,12,11,11,35,science
171,11,30,7,45,literature
172,11,19,9,15,"sports, literature"
173,15,11,8,28,science
174,11,16,5,11,"sports, science"
175,15,28,10,41,"sports, science"
176,12,14,9,14,"sports, science"
177,10,29,11,15,"science, literature"
178,14,22,14,36,sports
179,13,29,20,30,literature
180,10,21,20,42,sports
181,11,17,18,14,"sports, science"
182,12,17,8,18,"sports, literature"
183,14,14,9,13,"sports, literature"
184,12,22,8,20,"sports, science"
185,14,17,20,16,sports
186,15,10,9,13,"sports, science, literature"
187,12,28,19,37,sports
188,15,20,13,20,sports
189,13,19,13,17,science
190,11,29,13,14,"sports, science, literature"
191,12,27,19,15,"sports, literature"
192,10,22,7,35,"sports, science"
193,13,17,6,36,"science, literature"
194,12,27,18,40,sports
195,10,18,20,23,literature
196,13,15,10,36,science
