,committee_id,no_of_members,no_of_posts,no_of_events,followers,tags,weekly_post_rate,weekly_event_rate,predicted_score
0,1.0,12,28,9,35,science,7.0,2.25,25.046046708763306
1,2.0,13,30,11,24,science,7.5,2.75,21.798357643293922
2,3.0,15,17,8,27,sports,4.25,2.0,18.921351515634093
3,4.0,14,30,18,18,"science, literature",7.5,4.5,19.69730785761122
4,5.0,12,30,18,39,literature,7.5,4.5,27.050982107500673
5,6.0,10,25,18,18,"science, literature",6.25,4.5,18.186719003572307
6,7.0,15,12,18,48,"sports, literature",3.0,4.5,24.764436911484633
7,8.0,12,11,5,49,"science, literature",2.75,1.25,24.812494104957302
8,9.0,14,12,19,47,literature,3.0,4.75,24.414261947204185
9,10.0,14,13,8,29,"sports, science",3.25,2.0,18.413230360963865
10,11.0,11,12,16,34,sports,3.0,4.0,19.86198741155833
11,12.0,11,28,15,26,"sports, science, literature",7.0,3.75,21.894472030239257
12,13.0,15,22,17,25,sports,5.5,4.25,19.73159044111211
13,14.0,13,13,16,26,"sports, literature",3.25,4.0,17.362705468122513
14,15.0,14,24,19,17,literature,6.0,4.75,17.534426268484076
15,16.0,13,11,11,32,"science, literature",2.75,2.75,18.85951971218965
16,17.0,14,27,11,11,"sports, literature",6.75,2.75,16.33972979522472
17,18.0,13,29,16,28,"sports, literature",7.25,4.0,22.89693972960794
18,19.0,14,23,5,33,"sports, science, literature",5.75,1.25,22.83510792616349
19,20.0,13,13,5,48,sports,3.25,1.25,25.066554682292416
20,21.0,12,30,20,10,science,7.5,5.0,16.89590814336762
21,22.0,13,23,10,37,sports,5.75,2.5,24.235807783285292
22,23.0,12,19,8,49,sports,4.75,2.0,27.229436271419562
23,24.0,13,29,8,21,sports,7.25,2.0,20.445714979644787
24,25.0,14,12,6,37,sports,3.0,1.5,20.912512304399684
25,26.0,11,11,6,45,"sports, science",2.75,1.5,23.411794247835502
26,27.0,15,14,20,13,"sports, literature",3.5,5.0,13.112548703284446
27,28.0,10,25,15,24,science,6.25,3.75,20.287768789255004
28,29.0,12,28,10,14,sports,7.0,2.5,17.692372458873855
29,30.0,14,28,17,22,sports,7.0,4.25,20.493772173117456
30,31.0,15,28,15,24,sports,7.0,3.75,21.194122101678357
31,32.0,11,16,9,22,science,4.0,2.25,16.86835892342406
32,33.0,13,11,8,30,"sports, literature",2.75,2.0,18.159169783628748
33,34.0,12,19,6,39,"science, literature",4.75,1.5,23.72768662861506
34,35.0,12,19,10,26,science,4.75,2.5,19.17541209296921
35,36.0,10,13,8,47,"sports, science, literature",3.25,2.0,24.716379718011968
36,37.0,13,16,12,30,literature,4.0,3.0,19.669758637667663
37,38.0,15,13,11,21,sports,3.25,2.75,15.611830646720264
38,39.0,11,22,11,40,"sports, science, literature",5.5,2.75,24.98421490531886
39,40.0,13,19,5,30,"sports, science",4.75,1.25,20.57611195009101
40,41.0,15,19,9,39,literature,4.75,2.25,23.72768662861506
41,42.0,13,22,16,42,science,5.5,4.0,25.68456483387976
42,43.0,13,21,17,40,science,5.25,4.25,24.68209713451108
43,44.0,14,28,20,48,literature,7.0,5.0,29.598321244409156
44,45.0,11,13,18,10,sports,3.25,4.5,11.759906039635313
45,46.0,15,18,5,29,"sports, science",4.5,1.25,19.92381921500278
46,47.0,14,15,15,50,science,3.75,3.75,26.371140152468882
47,48.0,13,24,9,36,"science, literature",6.0,2.25,24.187750589812627
48,49.0,15,29,5,19,"science, literature",7.25,1.25,19.745365051083887
49,50.0,15,24,9,18,science,6.0,2.25,17.884601232764524
50,51.0,10,10,13,44,"science, literature",2.5,3.25,22.759501512747267
51,52.0,13,22,9,28,"sports, science, literature",5.5,2.25,20.78211533395346
52,53.0,15,27,7,25,"sports, science, literature",6.75,1.75,21.242179295151022
53,54.0,14,18,10,24,sports,4.5,2.5,18.172944393600527
54,55.0,11,23,9,22,literature,5.75,2.25,18.98318331907854
55,56.0,11,12,11,47,"sports, science",3.0,2.75,24.414261947204185
56,57.0,12,20,13,39,science,5.0,3.25,24.029804399422844
